property,propertyLabel
http://www.wikidata.org/entity/P376,located on astronomical body
http://www.wikidata.org/entity/P377,SCN
http://www.wikidata.org/entity/P380,Mérimée ID
http://www.wikidata.org/entity/P381,PCP reference number
http://www.wikidata.org/entity/P382,CBS municipality code
http://www.wikidata.org/entity/P393,edition number
http://www.wikidata.org/entity/P395,licence plate code
http://www.wikidata.org/entity/P396,SBN ID
http://www.wikidata.org/entity/P397,parent astronomical body
http://www.wikidata.org/entity/P398,child astronomical body
http://www.wikidata.org/entity/P399,companion of
http://www.wikidata.org/entity/P400,platform
http://www.wikidata.org/entity/P402,OpenStreetMap Relation identifier
http://www.wikidata.org/entity/P403,mouth of the watercourse
http://www.wikidata.org/entity/P404,game mode
http://www.wikidata.org/entity/P405,taxon author
http://www.wikidata.org/entity/P406,soundtrack album
http://www.wikidata.org/entity/P407,language of work or name
http://www.wikidata.org/entity/P408,software engine
http://www.wikidata.org/entity/P409,NLA (Australia) ID
http://www.wikidata.org/entity/P410,military rank
http://www.wikidata.org/entity/P411,canonization status
http://www.wikidata.org/entity/P412,voice type
http://www.wikidata.org/entity/P413,position played on team / speciality
http://www.wikidata.org/entity/P414,stock exchange
http://www.wikidata.org/entity/P415,radio format
http://www.wikidata.org/entity/P416,quantity symbol
http://www.wikidata.org/entity/P417,patron saint
http://www.wikidata.org/entity/P418,seal description
http://www.wikidata.org/entity/P421,located in time zone
http://www.wikidata.org/entity/P423,shooting handedness
http://www.wikidata.org/entity/P424,Wikimedia language code
http://www.wikidata.org/entity/P425,field of this occupation
http://www.wikidata.org/entity/P426,aircraft registration
http://www.wikidata.org/entity/P427,taxonomic type
http://www.wikidata.org/entity/P428,botanist author abbreviation
http://www.wikidata.org/entity/P429,dantai code
http://www.wikidata.org/entity/P432,callsign of airline
http://www.wikidata.org/entity/P433,issue
http://www.wikidata.org/entity/P434,MusicBrainz artist ID
http://www.wikidata.org/entity/P435,MusicBrainz work ID
http://www.wikidata.org/entity/P436,MusicBrainz release group ID
http://www.wikidata.org/entity/P437,distribution
http://www.wikidata.org/entity/P439,German municipality key
http://www.wikidata.org/entity/P440,German district key
http://www.wikidata.org/entity/P442,China administrative division code
http://www.wikidata.org/entity/P443,pronunciation audio
http://www.wikidata.org/entity/P444,review score
http://www.wikidata.org/entity/P447,score by
http://www.wikidata.org/entity/P449,original network
http://www.wikidata.org/entity/P450,astronaut mission
http://www.wikidata.org/entity/P451,unmarried partner
http://www.wikidata.org/entity/P452,industry
http://www.wikidata.org/entity/P453,character role
http://www.wikidata.org/entity/P454,Structurae ID (structure)
http://www.wikidata.org/entity/P455,Emporis building ID
http://www.wikidata.org/entity/P457,foundational text
http://www.wikidata.org/entity/P458,IMO ship number
http://www.wikidata.org/entity/P459,determination method
http://www.wikidata.org/entity/P460,said to be the same as
http://www.wikidata.org/entity/P461,opposite of
http://www.wikidata.org/entity/P462,color
http://www.wikidata.org/entity/P463,member of
http://www.wikidata.org/entity/P464,NOR
http://www.wikidata.org/entity/P465,sRGB color hex triplet
http://www.wikidata.org/entity/P466,occupant
http://www.wikidata.org/entity/P467,legislated by
http://www.wikidata.org/entity/P468,dan/kyu rank
http://www.wikidata.org/entity/P469,lakes on river
http://www.wikidata.org/entity/P470,Eight Banner register
http://www.wikidata.org/entity/P473,local dialing code
http://www.wikidata.org/entity/P474,country calling code
http://www.wikidata.org/entity/P476,CELEX number
http://www.wikidata.org/entity/P477,Canadian Register of Historic Places ID
http://www.wikidata.org/entity/P478,volume
http://www.wikidata.org/entity/P479,input method
http://www.wikidata.org/entity/P480,FilmAffinity ID
http://www.wikidata.org/entity/P481,Palissy ID
http://www.wikidata.org/entity/P483,recorded at
http://www.wikidata.org/entity/P484,"IMA Number, broad sense"
